MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Area,Garage Qual,Garage Cond,Paved Drive,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Sale Type,Sale Condition,SalePrice,House Age,Total Bathrooms,Total Porch SF,Log Gr Liv Area
20,RH,80.0,11622,Pave,no_access,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,TA,LwQ,882.0,GasA,TA,Y,SBrkr,896,2,1,TA,Typ,0,no_fireplace,Attchd,1961.0,Unf,730.0,TA,TA,Y,0,no_pool,MnPrv,no_misc,0,6,WD ,Normal,105000,49,1.0,260,6.79794041297493
20,RL,81.0,14267,Pave,no_access,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,TA,TA,CBlock,TA,TA,No,TA,Unf,1329.0,GasA,TA,Y,SBrkr,1329,3,1,Gd,Typ,0,no_fireplace,Attchd,1958.0,Unf,312.0,TA,TA,Y,0,no_pool,no_fence,Gar2,12500,6,WD ,Normal,172000,52,1.5,429,7.192182058713246
20,RL,93.0,11160,Pave,no_access,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,CBlock,TA,TA,No,TA,Unf,2110.0,GasA,Ex,Y,SBrkr,2110,3,1,Ex,Typ,2,TA,Attchd,1968.0,Fin,522.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,4,WD ,Normal,244000,42,3.5,0,7.6544432264701125
60,RL,74.0,13830,Pave,no_access,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,TA,Unf,928.0,GasA,Gd,Y,SBrkr,1629,3,1,TA,Typ,1,TA,Attchd,1997.0,Fin,482.0,TA,TA,Y,0,no_pool,MnPrv,no_misc,0,3,WD ,Normal,189900,12,2.5,246,7.395721608602045
60,RL,78.0,9978,Pave,no_access,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,TA,TA,PConc,TA,TA,No,TA,Unf,926.0,GasA,Ex,Y,SBrkr,1604,3,1,Gd,Typ,1,Gd,Attchd,1998.0,Fin,470.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,6,WD ,Normal,195500,12,2.5,396,7.38025578842646
120,RL,41.0,4920,Pave,no_access,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,Mn,TA,Unf,1338.0,GasA,Ex,Y,SBrkr,1338,2,1,Gd,Typ,0,no_fireplace,Attchd,2001.0,Fin,582.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,4,WD ,Normal,213500,9,3.0,170,7.198931240688173
120,RL,43.0,5005,Pave,no_access,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,TA,Unf,1280.0,GasA,Ex,Y,SBrkr,1280,2,1,Gd,Typ,0,no_fireplace,Attchd,1992.0,RFn,506.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,1,WD ,Normal,191500,18,2.0,226,7.154615356913663
120,RL,39.0,5389,Pave,no_access,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,TA,Unf,1595.0,GasA,Ex,Y,SBrkr,1616,2,1,Gd,Typ,1,TA,Attchd,1995.0,RFn,608.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,3,WD ,Normal,236500,14,3.0,389,7.38770923908104
60,RL,60.0,7500,Pave,no_access,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,TA,Unf,994.0,GasA,Gd,Y,SBrkr,1804,3,1,Gd,Typ,1,TA,Attchd,1999.0,Fin,442.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,6,WD ,Normal,189000,11,2.5,200,7.4977617006225685
60,RL,75.0,10000,Pave,no_access,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,TA,Unf,763.0,GasA,Gd,Y,SBrkr,1655,3,1,TA,Typ,1,TA,Attchd,1993.0,Fin,440.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,4,WD ,Normal,175900,16,2.5,241,7.411556287811163
