Gr Liv Area,Lot Area,Total Bsmt SF,Lot Frontage,Garage Area,House Age,Total Porch SF,Overall Cond,Neighborhood,Overall Qual,MS SubClass,Mas Vnr Area,Total Bathrooms,Mo Sold,Garage Yr Blt,Sale Condition,SalePrice
896,11622,882.0,80.0,730.0,49,260,6,NAmes,5,20,0.0,1.0,6,51,4,105.0
1329,14267,1329.0,81.0,312.0,52,429,6,NAmes,6,20,108.0,1.5,6,48,4,172.0
2110,11160,2110.0,93.0,522.0,42,0,5,NAmes,7,20,0.0,3.5,4,58,4,244.0
1629,13830,928.0,74.0,482.0,12,246,5,Gilbert,5,60,0.0,2.5,3,87,4,189.9
1604,9978,926.0,78.0,470.0,12,396,6,Gilbert,6,60,20.0,2.5,6,88,4,195.5
1338,4920,1338.0,41.0,582.0,9,170,5,StoneBr,8,120,0.0,3.0,4,91,4,213.5
1280,5005,1280.0,43.0,506.0,18,226,5,StoneBr,8,120,0.0,2.0,1,82,4,191.5
1616,5389,1595.0,39.0,608.0,14,389,5,StoneBr,8,120,0.0,3.0,3,85,4,236.5
1804,7500,994.0,60.0,442.0,11,200,5,Gilbert,7,60,0.0,2.5,6,89,4,189.0
1655,10000,763.0,75.0,440.0,16,241,5,Gilbert,6,60,0.0,2.5,4,83,4,175.9
1187,7980,1168.0,69.22459016393442,420.0,3,504,7,Gilbert,6,20,0.0,3.0,3,82,4,185.0
1465,8402,789.0,63.0,393.0,12,75,5,Gilbert,6,60,0.0,2.5,5,88,4,180.4
1341,10176,1300.0,85.0,506.0,20,192,5,Gilbert,7,20,0.0,2.5,2,80,4,171.5
1502,6820,1488.0,69.22459016393442,528.0,25,194,5,StoneBr,8,120,0.0,2.5,6,75,4,212.0
1856,11394,1856.0,88.0,834.0,0,113,2,StoneBr,9,20,350.0,2.5,6,100,5,394.432
864,19138,864.0,140.0,400.0,59,0,5,Gilbert,4,20,0.0,1.0,6,41,4,141.0
2073,13175,1542.0,85.0,500.0,22,349,6,NWAmes,6,20,119.0,3.0,2,68,4,210.0
1844,11751,1844.0,105.0,546.0,33,122,6,NWAmes,6,20,480.0,2.0,1,67,4,190.0
1173,10625,1053.0,85.0,528.0,36,120,6,NWAmes,7,85,81.0,3.0,1,64,3,170.0
1674,7500,814.0,69.22459016393442,663.0,10,96,5,Somerst,7,60,0.0,3.5,1,90,4,216.0
1004,11241,1004.0,69.22459016393442,480.0,40,0,7,NAmes,6,20,180.0,2.0,3,60,4,149.0
1078,12537,1078.0,69.22459016393442,500.0,2,0,6,NAmes,5,20,0.0,2.5,4,61,4,149.9
1056,8450,1056.0,65.0,304.0,42,269,6,NAmes,5,20,0.0,2.0,7,58,4,142.0
882,8400,882.0,70.0,525.0,40,240,5,NAmes,4,20,0.0,2.0,4,60,4,126.0
864,10500,864.0,70.0,0.0,39,0,5,NAmes,4,20,0.0,1.0,4,101,4,115.0
1337,5858,1405.0,26.0,511.0,11,271,5,NAmes,7,120,0.0,3.0,6,89,4,184.0
987,1680,483.0,21.0,264.0,39,275,5,BrDale,6,160,504.0,1.5,2,61,4,96.0
1092,1680,525.0,21.0,320.0,39,0,5,BrDale,5,160,492.0,1.5,3,87,4,105.5
1092,1680,525.0,21.0,264.0,39,0,5,BrDale,6,160,381.0,1.5,3,61,3,88.0
1069,4043,1069.0,53.0,440.0,33,220,5,NPkVill,6,120,0.0,2.0,7,67,4,127.5
1456,2280,855.0,24.0,440.0,35,173,6,NPkVill,6,160,0.0,2.5,6,65,4,149.9
836,2280,836.0,24.0,308.0,35,30,6,NPkVill,7,120,0.0,1.0,6,65,4,120.0
1456,2280,855.0,24.0,440.0,32,26,5,NPkVill,6,160,0.0,2.5,7,68,4,146.0
2334,12858,1590.0,102.0,751.0,0,277,5,NridgHt,9,60,162.0,2.5,1,99,5,376.162
1704,11478,1704.0,98.0,772.0,2,50,5,NridgHt,8,20,200.0,3.0,5,98,4,306.0
1940,10159,1930.0,83.0,606.0,0,263,5,NridgHt,9,20,450.0,3.5,4,100,5,395.192
1544,12883,1544.0,94.0,868.0,0,35,5,NridgHt,8,20,256.0,2.0,6,99,5,290.941
1541,12182,1541.0,95.0,532.0,5,70,5,NridgHt,7,20,226.0,2.0,5,95,5,220.0
1698,11520,1698.0,90.0,730.0,5,266,5,NridgHt,9,20,615.0,2.0,6,95,4,275.0
1822,14122,1822.0,79.0,678.0,4,119,5,NridgHt,8,20,240.0,2.0,2,95,4,259.0
1535,10171,1517.0,70.0,532.0,6,0,5,NridgHt,7,20,168.0,2.0,3,94,4,214.0
2364,12919,2330.0,100.0,820.0,0,67,5,NridgHt,9,20,760.0,3.5,3,99,5,611.657
1358,6371,1358.0,44.0,484.0,0,227,5,NridgHt,7,120,128.0,3.0,6,100,5,224.0
2696,14300,2846.0,110.0,958.0,6,370,5,NridgHt,9,20,1095.0,3.5,6,93,4,500.0
2250,13650,1671.0,105.0,756.0,8,368,5,NridgHt,8,60,232.0,3.5,6,92,4,320.0
1752,7658,1752.0,61.0,576.0,5,278,5,NridgHt,9,120,412.0,3.0,2,95,4,319.9
1370,7132,1370.0,41.0,484.0,4,169,5,NridgHt,8,120,178.0,2.0,4,96,4,205.0
1626,2628,764.0,36.0,474.0,7,27,5,NridgHt,7,160,106.0,2.5,6,93,4,175.5
